         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
           123   1,23000e-02   4,93074e-01  -5,83115e+01  -5,54000e+01
           124   1,24000e-02   4,93675e-01  -5,81097e+01  -5,52000e+01
           125   1,25000e-02   4,94302e-01  -5,79040e+01  -5,50000e+01
           126   1,26000e-02   4,95022e-01  -5,77087e+01  -5,48000e+01
           127   1,27000e-02   4,95751e-01  -5,75053e+01  -5,46000e+01
           128   1,28000e-02   4,96505e-01  -5,73020e+01  -5,44000e+01
           129   1,29000e-02   4,97065e-01  -5,71010e+01  -5,42000e+01
           130   1,30000e-02   4,97664e-01  -5,69042e+01  -5,40000e+01
           131   1,31000e-02   4,98256e-01  -5,67014e+01  -5,38000e+01
           132   1,32000e-02   4,98810e-01  -5,64988e+01  -5,36000e+01
           133   1,33000e-02   4,99442e-01  -5,62902e+01  -5,34000e+01
           134   1,34000e-02   4,99836e-01  -5,60960e+01  -5,32000e+01
           135   1,35000e-02   5,00266e-01  -5,58918e+01  -5,30000e+01
           136   1,36000e-02   5,00653e-01  -5,56918e+01  -5,28000e+01
           137   1,37000e-02   5,01063e-01  -5,54919e+01  -5,26000e+01
           138   1,38000e-02   5,01560e-01  -5,52840e+01  -5,24000e+01
           139   1,39000e-02   5,02145e-01  -5,50886e+01  -5,22000e+01
           140   1,40000e-02   5,02691e-01  -5,48851e+01  -5,20000e+01
           141   1,41000e-02   5,03358e-01  -5,46838e+01  -5,18000e+01
           142   1,42000e-02   5,04004e-01  -5,44826e+01  -5,16000e+01
           143   1,43000e-02   5,04724e-01  -5,42775e+01  -5,14000e+01
           144   1,44000e-02   5,05360e-01  -5,40767e+01  -5,12000e+01
           145   1,45000e-02   5,05912e-01  -5,38739e+01  -5,10000e+01
           146   1,46000e-02   5,06631e-01  -5,36693e+01  -5,08000e+01
           147   1,47000e-02   5,07183e-01  -5,34669e+01  -5,06000e+01
           148   1,48000e-02   5,07655e-01  -5,32706e+01  -5,04000e+01
           149   1,49000e-02   5,08196e-01  -5,30604e+01  -5,02000e+01
